Column1,Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
61,62,55,Male,Scarf,Accessories,68,Texas,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
62,63,30,Male,Sneakers,Footwear,21,Mississippi,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
63,64,33,Male,Sunglasses,Accessories,79,Arizona,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
64,65,65,Male,Boots,Footwear,83,Alabama,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
65,66,65,Male,Backpack,Accessories,36,New Jersey,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months
66,67,31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months
67,68,45,Male,Coat,Outerwear,33,Connecticut,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
68,69,57,Male,Handbag,Accessories,46,Utah,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
69,70,48,Male,Belt,Accessories,70,Tennessee,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
70,71,22,Male,Belt,Accessories,29,Alabama,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
71,72,36,Male,Dress,Clothing,48,Virginia,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
72,73,18,Male,Dress,Clothing,26,Georgia,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months
73,74,48,Male,Pants,Clothing,85,Hawaii,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly
74,75,49,Male,Gloves,Accessories,58,Indiana,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
75,76,64,Male,Scarf,Accessories,85,Utah,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
76,77,50,Male,Hat,Accessories,43,Delaware,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
77,78,22,Male,Dress,Clothing,53,Delaware,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
78,79,50,Male,Skirt,Clothing,91,Nebraska,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
79,80,38,Male,Jacket,Outerwear,96,Iowa,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months
80,81,19,Male,Sandals,Footwear,72,New York,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
81,82,67,Male,Shoes,Footwear,96,Virginia,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
82,83,19,Male,Pants,Clothing,28,Georgia,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
83,84,36,Male,Dress,Clothing,40,Texas,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
84,85,52,Male,Coat,Outerwear,32,Arizona,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months
85,86,53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
86,87,24,Male,Hoodie,Clothing,41,Nevada,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
87,88,52,Male,Shoes,Footwear,53,Ohio,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
88,89,33,Male,T-shirt,Clothing,47,Wyoming,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
89,90,47,Male,Jacket,Outerwear,83,California,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
90,91,25,Male,Hat,Accessories,48,South Carolina,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
91,92,44,Male,Scarf,Accessories,99,South Carolina,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
92,93,61,Male,Jacket,Outerwear,87,Texas,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months
93,94,37,Male,Sweater,Clothing,62,Florida,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
94,95,58,Male,Skirt,Clothing,76,Nevada,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
95,96,37,Male,Sneakers,Footwear,100,Missouri,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
96,97,32,Male,Gloves,Accessories,73,Delaware,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months
97,98,21,Male,Shoes,Footwear,92,Virginia,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
98,99,20,Male,Jeans,Clothing,67,New York,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
99,100,26,Male,Hoodie,Clothing,40,Missouri,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
100,101,62,Male,Sunglasses,Accessories,98,South Dakota,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
101,102,27,Male,Coat,Outerwear,85,North Dakota,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
102,103,51,Male,Socks,Clothing,67,Oklahoma,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
103,104,54,Male,Boots,Footwear,89,West Virginia,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly
104,105,55,Male,Sunglasses,Accessories,24,New Hampshire,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
105,106,69,Male,Backpack,Accessories,96,New York,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
106,107,64,Male,Jacket,Outerwear,35,Minnesota,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
107,108,28,Male,Sneakers,Footwear,67,Maryland,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
108,109,70,Male,Socks,Clothing,79,Montana,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly
109,110,58,Male,T-shirt,Clothing,85,Alabama,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
110,111,56,Male,Backpack,Accessories,26,New York,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
111,112,26,Male,Belt,Accessories,75,Massachusetts,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
112,113,37,Male,Gloves,Accessories,65,Florida,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly
113,114,44,Male,Hat,Accessories,54,New Jersey,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
114,115,70,Male,Coat,Outerwear,95,Massachusetts,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
115,116,53,Male,Skirt,Clothing,94,Wyoming,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
116,117,55,Male,Shoes,Footwear,86,Virginia,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
117,118,50,Male,Sandals,Footwear,32,South Dakota,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
118,119,50,Male,Sweater,Clothing,45,Kentucky,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
119,120,38,Male,Coat,Outerwear,76,Wyoming,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
120,121,64,Male,Hat,Accessories,84,West Virginia,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
121,122,19,Male,Shorts,Clothing,72,Virginia,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
122,123,40,Male,Backpack,Accessories,40,Washington,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
123,124,57,Male,Sweater,Clothing,89,Louisiana,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
124,125,44,Male,Sweater,Clothing,86,Nevada,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
125,126,49,Male,Shorts,Clothing,54,California,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months
126,127,43,Male,Shorts,Clothing,36,Mississippi,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
127,128,24,Male,Sweater,Clothing,89,Mississippi,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
128,129,20,Male,Scarf,Accessories,32,California,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
129,130,24,Male,Dress,Clothing,67,Pennsylvania,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Bi-Weekly
130,131,44,Male,Scarf,Accessories,39,Kentucky,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
131,132,28,Male,Skirt,Clothing,29,Maine,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
132,133,30,Male,Backpack,Accessories,58,New Mexico,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
133,134,52,Male,Sweater,Clothing,65,Montana,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
134,135,43,Male,Hat,Accessories,94,Texas,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
135,136,43,Male,Sandals,Footwear,81,Kansas,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
136,137,39,Male,Blouse,Clothing,86,South Carolina,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
137,138,68,Male,Sneakers,Footwear,43,Colorado,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
138,139,68,Male,Skirt,Clothing,29,Georgia,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
139,140,49,Male,Coat,Outerwear,95,Florida,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
140,141,63,Male,Shirt,Clothing,28,North Carolina,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
141,142,56,Male,Gloves,Accessories,46,Virginia,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
142,143,37,Male,Jacket,Outerwear,58,Nebraska,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
143,144,30,Male,Coat,Outerwear,48,Missouri,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
144,145,19,Male,Shoes,Footwear,43,New Jersey,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
145,146,24,Male,Jewelry,Accessories,95,Missouri,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
146,147,52,Male,Skirt,Clothing,30,Colorado,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
147,148,63,Male,Shoes,Footwear,64,Idaho,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
148,149,37,Male,Gloves,Accessories,90,Wyoming,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
149,150,38,Male,Pants,Clothing,76,Delaware,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
150,151,35,Male,Boots,Footwear,96,California,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
151,152,28,Male,Sunglasses,Accessories,47,North Dakota,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
152,153,30,Male,Shirt,Clothing,85,South Carolina,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,Venmo,Annually
153,154,69,Male,Hoodie,Clothing,55,North Carolina,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
154,155,41,Male,Dress,Clothing,98,Oklahoma,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,Venmo,Quarterly
155,156,63,Male,Socks,Clothing,77,Maine,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Bank Transfer,Quarterly
156,157,35,Male,Shorts,Clothing,26,Missouri,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
157,158,36,Male,Hat,Accessories,68,Vermont,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Bank Transfer,Fortnightly
158,159,25,Male,Shirt,Clothing,73,Connecticut,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Bank Transfer,Monthly
159,160,58,Male,Gloves,Accessories,27,New Hampshire,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Bank Transfer,Every 3 Months
160,161,27,Male,Gloves,Accessories,23,Texas,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,Venmo,Monthly
161,162,65,Male,Backpack,Accessories,49,North Dakota,Olive,Fall,3,Yes,Express,Yes,Yes,29,Venmo,Fortnightly
162,163,54,Male,Sunglasses,Accessories,74,California,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,PayPal,Bi-Weekly
163,164,54,Male,Skirt,Clothing,67,Virginia,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
164,165,59,Male,Handbag,Accessories,65,Delaware,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
165,166,42,Male,Handbag,Accessories,60,Kentucky,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
166,167,46,Male,Sneakers,Footwear,31,Delaware,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
167,168,33,Male,Gloves,Accessories,27,Arkansas,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
168,169,34,Male,Shoes,Footwear,80,Louisiana,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
169,170,27,Male,Jacket,Outerwear,30,Nevada,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,PayPal,Every 3 Months
170,171,52,Male,Shirt,Clothing,25,Wyoming,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,Venmo,Bi-Weekly
171,172,29,Male,Shorts,Clothing,35,Virginia,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
172,173,54,Male,Jewelry,Accessories,67,Nebraska,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
173,174,25,Male,Hat,Accessories,46,Hawaii,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
174,175,41,Male,Shoes,Footwear,35,Vermont,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,Venmo,Annually
175,176,53,Male,Coat,Outerwear,86,Oklahoma,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Bank Transfer,Annually
176,177,53,Male,Backpack,Accessories,81,New Hampshire,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
177,178,21,Male,Hoodie,Clothing,42,Kansas,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Monthly
178,179,61,Male,Skirt,Clothing,43,Idaho,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,PayPal,Quarterly
179,180,64,Male,Boots,Footwear,31,Illinois,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Bank Transfer,Fortnightly
180,181,51,Male,Sandals,Footwear,81,South Dakota,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
181,182,32,Male,Pants,Clothing,61,Massachusetts,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Weekly
182,183,38,Male,Gloves,Accessories,96,Alabama,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
183,184,58,Male,Skirt,Clothing,29,Ohio,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
184,185,32,Male,Sneakers,Footwear,33,Hawaii,Cyan,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
185,186,46,Male,T-shirt,Clothing,32,Wisconsin,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Bank Transfer,Fortnightly
186,187,39,Male,Backpack,Accessories,56,Minnesota,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
187,188,19,Male,Shoes,Footwear,94,Georgia,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Bank Transfer,Bi-Weekly
188,189,50,Male,Hoodie,Clothing,53,Arkansas,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Bank Transfer,Bi-Weekly
189,190,36,Male,Blouse,Clothing,82,West Virginia,Maroon,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
190,191,65,Male,Coat,Outerwear,70,Indiana,Beige,Fall,3,Yes,Free Shipping,Yes,Yes,48,Venmo,Quarterly
191,192,64,Male,Hat,Accessories,76,Utah,Gray,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
192,193,46,Male,Shoes,Footwear,29,Nebraska,Turquoise,Summer,2.9,Yes,Express,Yes,Yes,12,PayPal,Bi-Weekly
193,194,36,Male,Belt,Accessories,100,North Dakota,Silver,Fall,3,Yes,Standard,Yes,Yes,29,Venmo,Annually
194,195,51,Male,Backpack,Accessories,94,Missouri,Olive,Spring,3.1,Yes,Express,Yes,Yes,15,Debit Card,Quarterly
195,196,51,Male,Jacket,Outerwear,25,New York,Magenta,Fall,4.3,Yes,Free Shipping,Yes,Yes,34,Credit Card,Monthly
